Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	PxK_sample_type
SRX15693973	SRR19643946	2022-06-28 14:18:35	2022-06-13 19:36:24	22295259	4503642318	22295259	202	1346		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19643/SRR19643946/SRR19643946.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390374	SAMN29018723	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240339							no					GEO	SRA1436942		public	B29F4A481608572B8D7ED1C4AD06CBB7	A9847E71035256D860350C7763678433			
SRX15693974	SRR19643947	2022-06-28 14:18:35	2022-06-13 19:25:25	25281667	5106896734	25281667	202	1518		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19643/SRR19643947/SRR19643947.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390375	SAMN29018724	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240340							no					GEO	SRA1436942		public	A4B6A12BABEC1F98CBA2BC2C705C7F33	0BD506C2C963585DA6D0956F0DA5FDD4			
SRX15693975	SRR19643948	2022-06-28 14:18:35	2022-06-13 19:31:36	43257947	8738105294	43257947	202	2696		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19643/SRR19643948/SRR19643948.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390376	SAMN29018726	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240341							no					GEO	SRA1436942		public	61010B6F07B54449AB61B39799F93F7F	C397AD0C3CD6327614EDABF887EB7BAD			
SRX15693976	SRR19643949	2022-06-28 14:18:35	2022-06-13 19:33:18	35184535	7107276070	35184535	202	2193		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19643/SRR19643949/SRR19643949.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390377	SAMN29018728	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240342							no					GEO	SRA1436942		public	B7B00B3A9C5F531346EDAD0ED1233633	D0AE0B198E7FB85BF20163626B73BC54			
SRX15693977	SRR19643950	2022-06-28 14:18:35	2022-06-13 19:19:28	17102674	3454740148	17102674	202	1067		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19643/SRR19643950/SRR19643950.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390378	SAMN29018730	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240343							no					GEO	SRA1436942		public	A95330AAA463C2E6700826CB44C81EC3	8B1EA1D1974B6DA5E69D43CDC9625453			
SRX15693978	SRR19644328	2022-06-28 14:18:35	2022-06-13 19:29:31	30578428	6176842456	30578428	202	1912		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19644/SRR19644328/SRR19644328.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390379	SAMN29018881	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240416							no					GEO	SRA1436942		public	9C9AAA28F42B89CE247E57D466BDF119	47130E04952697DC1857479E6735913B			
SRX15693979	SRR19644329	2022-06-28 14:18:35	2022-06-13 19:33:55	30770581	6215657362	30770581	202	1972		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19644/SRR19644329/SRR19644329.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390380	SAMN29018883	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240417							no					GEO	SRA1436942		public	867CA86CDE21E772437DAB2A1CA21827	9EBA264BBF3E5ADEC6E5A70503E5B15F			
SRX15693980	SRR19644330	2022-06-28 14:18:35	2022-06-13 19:24:49	17403276	3515461752	17403276	202	1106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19644/SRR19644330/SRR19644330.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390381	SAMN29018885	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240418							no					GEO	SRA1436942		public	FD4B6FD45E1E9B7FA3D20E858EA63482	DB33EFD00763F49C54BF9405294080B3			
SRX15693930	SRR19644239	2022-06-28 14:18:34	2022-06-13 19:20:19	17401320	3515066640	17401320	202	1040		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19644/SRR19644239/SRR19644239.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390331	SAMN29018287	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240224							no					GEO	SRA1436942		public	DFBAFC502FF6FB950E86007D60B0B460	B310A0B47FD2B73E382F30F7D5F8E24E			
SRX15693931	SRR19644240	2022-06-28 14:18:34	2022-06-13 19:14:39	28855	5828710	28855	202	1		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19644/SRR19644240/SRR19644240.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP379978	PRJNA848841		848841	SRS13390333	SAMN29018394	simple	511145	Escherichia coli str. K-12 substr. MG1655	GSM6240225							no					GEO	SRA1436942		public	056C7C668D8FB0AAC6E7992040C264CE	1F465693DA64A98653BC3298EA3EB89E			
